complexity,loss,equation,score,sympy_format,lambda_format,simulation,parsimony,populations
29,1.9722617,"min((DST * -0.08717575) - (Ey + (max(Ey + (P_dyn + -1.0), Ey + 1.9839075) + -2.2688558)), ((Ey + P_dyn) + (DST / 1.9839075)) * -0.08717575) + 0.20326725",0.00022385582768964373,"min((DST * -0.08717575) - (Ey + (max(Ey + (P_dyn + -1.0), Ey + 1.9839075) + -2.2688558)), ((Ey + P_dyn) + (DST / 1.9839075)) * -0.08717575) + 0.20326725","PySRFunction(X=>min((DST * -0.08717575) - (Ey + (max(Ey + (P_dyn + -1.0), Ey + 1.9839075) + -2.2688558)), ((Ey + P_dyn) + (DST / 1.9839075)) * -0.08717575) + 0.20326725)",25,0.3134955963792481,93
23,1.9725237,"((((((DST + P_dyn) + Ey) + P_dyn) * -0.058895502) - max(Ey, -0.2790569)) * sqrt(sqrt(P_dyn * max(Ey, 0.28705907)))) * 1.079789",0.0004454235611068035,"((((((DST + P_dyn) + Ey) + P_dyn) * -0.058895502) - max(Ey, -0.2790569)) * sqrt(sqrt(P_dyn * max(Ey, 0.28705907)))) * 1.079789","PySRFunction(X=>((((((DST + P_dyn) + Ey) + P_dyn) * -0.058895502) - max(Ey, -0.2790569)) * sqrt(sqrt(P_dyn * max(Ey, 0.28705907)))) * 1.079789)",83,0.5245512299539379,47
27,1.9728144,"(min((DST * -0.056951955) - max(Ey, -0.056951955), ((((max(Ey, -0.32519963) - (DST * -0.063032575)) * -1.9003704) - P_dyn) - Ey) - -2.968592) * 0.8982847) + 0.04019511",0.00014522825201343617,"(min((DST * -0.056951955) - max(Ey, -0.056951955), ((((max(Ey, -0.32519963) - (DST * -0.063032575)) * -1.9003704) - P_dyn) - Ey) - -2.968592) * 0.8982847) + 0.04019511","PySRFunction(X=>(min((DST * -0.056951955) - max(Ey, -0.056951955), ((((max(Ey, -0.32519963) - (DST * -0.063032575)) * -1.9003704) - P_dyn) - Ey) - -2.968592) * 0.8982847) + 0.04019511)",20,0.5503316905479728,79
23,1.9728683,"min(sqrt(P_dyn + sqrt(P_dyn)) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((-2.5373838 - (P_dyn * -0.73460466)) * 0.13552912)",0.0004324239583628878,"min(sqrt(P_dyn + sqrt(P_dyn)) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((-2.5373838 - (P_dyn * -0.73460466)) * 0.13552912)","PySRFunction(X=>min(sqrt(P_dyn + sqrt(P_dyn)) * ((DST * -0.043390367) - Ey), DST * -0.043390367) - ((-2.5373838 - (P_dyn * -0.73460466)) * 0.13552912))",35,0.25845130777194564,52
22,1.9730736,"((((P_dyn + (DST + P_dyn)) * -0.04187328) - max(0.041686147, Ey)) * sqrt(P_dyn + min(max(0.0970284, Ey), 3.3851764))) + 0.42609894",0.0005216799015393612,"((((P_dyn + (DST + P_dyn)) * -0.04187328) - max(0.041686147, Ey)) * sqrt(P_dyn + min(max(0.0970284, Ey), 3.3851764))) + 0.42609894","PySRFunction(X=>((((P_dyn + (DST + P_dyn)) * -0.04187328) - max(0.041686147, Ey)) * sqrt(P_dyn + min(max(0.0970284, Ey), 3.3851764))) + 0.42609894)",48,0.005399343270369528,91
25,1.9733875,"(min((DST * -0.056951955) - max(Ey, -0.056951955), ((((Ey - (DST * -0.063032575)) * -1.9003704) - P_dyn) - Ey) - -2.968592) * 0.8982847) + 0.04019511",0.0013062209253989565,"(min((DST * -0.056951955) - max(Ey, -0.056951955), ((((Ey - (DST * -0.063032575)) * -1.9003704) - P_dyn) - Ey) - -2.968592) * 0.8982847) + 0.04019511","PySRFunction(X=>(min((DST * -0.056951955) - max(Ey, -0.056951955), ((((Ey - (DST * -0.063032575)) * -1.9003704) - P_dyn) - Ey) - -2.968592) * 0.8982847) + 0.04019511)",20,0.5503316905479728,79
30,1.9734325,"(min(((-0.045481175 * (DST - (0.3358893 - P_dyn))) - max(-1.5277416, Ey)) * sqrt(P_dyn), (DST - (((-1.4626269 * Ey) - P_dyn) - P_dyn)) * -0.045481175) - -0.14001317) / 0.8405728",0.00019576264313611867,"(min(((-0.045481175 * (DST - (0.3358893 - P_dyn))) - max(-1.5277416, Ey)) * sqrt(P_dyn), (DST - (((-1.4626269 * Ey) - P_dyn) - P_dyn)) * -0.045481175) - -0.14001317) / 0.8405728","PySRFunction(X=>(min(((-0.045481175 * (DST - (0.3358893 - P_dyn))) - max(-1.5277416, Ey)) * sqrt(P_dyn), (DST - (((-1.4626269 * Ey) - P_dyn) - P_dyn)) * -0.045481175) - -0.14001317) / 0.8405728)",11,0.5146846678269839,53
30,1.9735944,"min(((DST - ((P_dyn + Ey) * -1.1777779)) * -0.05303381) - (((P_dyn + Ey) * -1.4356166) * -0.054330956), sqrt(P_dyn) * ((DST * -0.05303381) - (Ey * 1.2611511))) + 0.16159461",0.0002001224147886614,"min(((DST - ((P_dyn + Ey) * -1.1777779)) * -0.05303381) - (((P_dyn + Ey) * -1.4356166) * -0.054330956), sqrt(P_dyn) * ((DST * -0.05303381) - (Ey * 1.2611511))) + 0.16159461","PySRFunction(X=>min(((DST - ((P_dyn + Ey) * -1.1777779)) * -0.05303381) - (((P_dyn + Ey) * -1.4356166) * -0.054330956), sqrt(P_dyn) * ((DST * -0.05303381) - (Ey * 1.2611511))) + 0.16159461)",16,0.8245378107274485,68
27,1.9735968,"(P_dyn + ((0.22014308 - (P_dyn - ((max(Ey + -0.08541017, DST * -0.016681124) + (DST * 0.041992024)) * -0.85324186))) / 0.8852464)) * (1.857968 - (-0.05787744 * P_dyn))",0.00047013839854155245,"(P_dyn + ((0.22014308 - (P_dyn - ((max(Ey + -0.08541017, DST * -0.016681124) + (DST * 0.041992024)) * -0.85324186))) / 0.8852464)) * (1.857968 - (-0.05787744 * P_dyn))","PySRFunction(X=>(P_dyn + ((0.22014308 - (P_dyn - ((max(Ey + -0.08541017, DST * -0.016681124) + (DST * 0.041992024)) * -0.85324186))) / 0.8852464)) * (1.857968 - (-0.05787744 * P_dyn)))",84,0.02687898300197794,92
27,1.9735987,"(sqrt(sqrt(max(min(Ey, P_dyn / 0.30432957), P_dyn * 0.11966711))) * (((DST + P_dyn) * -0.07965054) - max(-0.21723673, (Ey * 1.5063215) * 1.0882573))) + 0.10687568",8.868797675470811e-05,"(sqrt(sqrt(max(min(Ey, P_dyn / 0.30432957), P_dyn * 0.11966711))) * (((DST + P_dyn) * -0.07965054) - max(-0.21723673, (Ey * 1.5063215) * 1.0882573))) + 0.10687568","PySRFunction(X=>(sqrt(sqrt(max(min(Ey, P_dyn / 0.30432957), P_dyn * 0.11966711))) * (((DST + P_dyn) * -0.07965054) - max(-0.21723673, (Ey * 1.5063215) * 1.0882573))) + 0.10687568)",28,0.6281431313400103,115
