complexity,loss,score,equation,sympy_format,lambda_format,simulation,parsimony,populations
5,2.1233642,0.0033050638944975615,"min(0.47860307, 0.47860307 - Ey)","Piecewise((0.47860307, Ey - 0.47860307 < -0.47860307), (0.47860307 - Ey, True))","PySRFunction(X=>Piecewise((0.47860307, Ey - 0.47860307 < -0.47860307), (0.47860307 - Ey, True)))",10,0.310354575469587,51
5,2.1234944,0.003291482099455535,"min(0.5096663, 0.6335474 - Ey)","Piecewise((0.5096663, Ey - 0.6335474 < -0.5096663), (0.6335474 - Ey, True))","PySRFunction(X=>Piecewise((0.5096663, Ey - 0.6335474 < -0.5096663), (0.6335474 - Ey, True)))",7,0.6588018732240777,27
5,2.1235123,0.003245698764187355,"min(0.47064134, 0.53427917 - Ey)","Piecewise((0.47064134, Ey - 0.53427917 < -0.47064134), (0.53427917 - Ey, True))","PySRFunction(X=>Piecewise((0.47064134, Ey - 0.53427917 < -0.47064134), (0.53427917 - Ey, True)))",13,0.3285671800313252,37
5,2.1235273,0.005774015652272045,"min(0.47537923, 0.47537923 - Ey)","Piecewise((0.47537923, Ey - 0.47537923 < -0.47537923), (0.47537923 - Ey, True))","PySRFunction(X=>Piecewise((0.47537923, Ey - 0.47537923 < -0.47537923), (0.47537923 - Ey, True)))",54,0.321113011224157,62
6,2.1236598,9.191256973949383e-05,"min(sqrt(0.24950817) - Ey, 0.46897328)","Piecewise((0.499507927865014 - Ey, Ey - 0.499507927865014 > -0.46897328), (0.46897328, True))","PySRFunction(X=>Piecewise((0.499507927865014 - Ey, Ey - 0.499507927865014 > -0.46897328), (0.46897328, True)))",4,0.4634548764716549,94
5,2.1236775,0.0032057497461296177,"min(0.46693268, 0.52628404 - Ey)","Piecewise((0.46693268, Ey - 0.52628404 < -0.46693268), (0.52628404 - Ey, True))","PySRFunction(X=>Piecewise((0.46693268, Ey - 0.52628404 < -0.46693268), (0.52628404 - Ey, True)))",40,0.11246947898429092,41
5,2.123855,0.0033207200730657836,"min(0.46897328 - Ey, 0.46897328)","Piecewise((0.46897328 - Ey, Ey - 0.46897328 > -0.46897328), (0.46897328, True))","PySRFunction(X=>Piecewise((0.46897328 - Ey, Ey - 0.46897328 > -0.46897328), (0.46897328, True)))",4,0.4634548764716549,94
5,2.1238787,0.003193797980098106,"min(0.5288111 - Ey, 0.5288111)","Piecewise((0.5288111 - Ey, Ey - 0.5288111 > -0.5288111), (0.5288111, True))","PySRFunction(X=>Piecewise((0.5288111 - Ey, Ey - 0.5288111 > -0.5288111), (0.5288111, True)))",51,0.7278578853860362,54
5,2.1242957,0.0031371337433000117,"min(0.53608936, 0.53608936 - Ey)","Piecewise((0.53608936, Ey - 0.53608936 < -0.53608936), (0.53608936 - Ey, True))","PySRFunction(X=>Piecewise((0.53608936, Ey - 0.53608936 < -0.53608936), (0.53608936 - Ey, True)))",34,0.490442314835111,99
5,2.124455,0.0030227281457719415,"0.39126238 - max(-0.12516087, Ey)","0.39126238 - Piecewise((Ey, Ey > -0.12516087), (-0.12516087, True))","PySRFunction(X=>0.39126238 - Piecewise((Ey, Ey > -0.12516087), (-0.12516087, True)))",45,0.23506757861056546,47
6,2.1244886,0.002504945947559594,"min(0.61745423 - Ey, square(-0.7267309))","Piecewise((0.61745423 - Ey, Ey - 0.61745423 > -0.52813780101481), (0.52813780101481, True))","PySRFunction(X=>Piecewise((0.61745423 - Ey, Ey - 0.61745423 > -0.52813780101481), (0.52813780101481, True)))",58,0.46474805073223563,27
5,2.1245048,0.0030240610854796487,"min(0.5329372, 0.4376773 - Ey)","Piecewise((0.5329372, Ey - 0.4376773 < -0.5329372), (0.4376773 - Ey, True))","PySRFunction(X=>Piecewise((0.5329372, Ey - 0.4376773 < -0.5329372), (0.4376773 - Ey, True)))",15,0.5490287081615713,36
5,2.1245728,0.003189390530599564,"min(0.49550965 - Ey, 0.44845515)","Piecewise((0.49550965 - Ey, Ey - 0.49550965 > -0.44845515), (0.44845515, True))","PySRFunction(X=>Piecewise((0.49550965 - Ey, Ey - 0.49550965 > -0.44845515), (0.44845515, True)))",16,0.32610585944443393,64
